489338.jpg,savoring the crispy skin and juicy meat of traditional roasted duck,peking duck
629235.jpg,discover the delicate flavors of finely seasoned raw beef  layered with a garden-fresh mix of greens. this beef tartare presentation is an artful blend of taste and texture.,beef tartare
210272.jpg,enjoying this delectable platter of mini pizza garnished with fresh basil  mozzarella  and cherry tomatoes!,pizza
1074480.jpg,enjoy this indulgent  freshly grilled prime rib  seasoned to perfection and ready to melt in your mouth!,prime rib
1617382.jpg,savor the rich  flaky layers of our homemade baklava  filled with finely chopped nuts and sweetened with honey.,baklava
2967012.jpg,enjoy this freshly chopped greek salad with feta cheese and olives,greek salad
1722854.jpg,decadent and creamy cheesecake topped with a bright red strawberry glaze and fresh strawberry slices.,cheesecake
3139808.jpg,indulge in the sweet layers of this flaky  honey-soaked baklava  a perfect dessert to pair with coffee.,baklava
1725744.jpg,savory grilled filet mignon with herb butter on top and a side of creamy mashed potatoes.,filet mignon
1498938.jpg,savory beef tartare with a side of crisp fries,beef tartare
712855.jpg,savory mexican 'breakfast burrito' filled with scrambled eggs  spicy chorizo  and topped with fresh pico de gallo and a side of guacamole.,breakfast burrito
3749180.jpg,freshly baked and glazed donuts with a classic golden brown finish.,donuts
1923960.jpg,enjoy this exquisite plate of traditional beet salad with a modern twist  featuring perfectly boiled eggs filled with a creamy beet-infused mixture  topped with a sprinkle of dill and a side of shredded raw beet for a fresh  earthy palate.,beet salad
3618657.jpg,enjoy the crispy top layer and the savory herb-infused filling of this classic french onion soup  complete with melted gruyère cheese  just like you'd find in a paris café.,french onion soup
374902.jpg,indulge in our unique black sesame macarons  perfectly paired with a delicate tuile cookie crunch.,macarons
64433.jpg,indulge in the rich layers of this delectable breakfast burrito  bursting with savory fillings and wrapped in a soft  warm tortilla.,breakfast burrito
54203.jpg,enjoy a plate of freshly deep-fried crispy calamari with a side of marinara dipping sauce!,fried calamari
2741597.jpg,savor the sweetness: freshly baked apple pie with a flaky crust and a sprinkle of cinnamon sugar,apple pie
1654282.jpg,enjoy this delectable plate of fresh escargots  complete with garlic and herb butter.,escargots
1139624.jpg,savory and rich beef tartare topped with a delicate quail egg and a sprinkle of capers  perfectly plated for an elegant appetizer.,beef tartare
2752627.jpg,enjoy the rich and creamy flavor of our authentic thai coconut curry soup  garnished with fresh herbs and a hint of lime.,chicken curry
614873.jpg,freshly baked apple pie with a golden crust and sweet spiced filling,apple pie
640383.jpg,savory calamari rings with a crispy golden coating,fried calamari
